index,Product_name,Brand,Rating,No_Rating,key_benefits_list,Ingredients,Benefits
977,SBL Bio-Combination 12 Tablet,SBL Pvt Ltd,4.8,55 Ratings,"Ferrum phosphoricum, Natrum muriaticum, Kalium phosphoricum, Magnesia phosphorica, Relieve from headache due to sun heat, congestion, over exertion, lack of sleep or because of low functioning liver due to worries and anxiety, Increases the level of concentration and improves the state of confusion, Makes the person less sensitive to light and tolerance to noise, Heals the headache after mental labour and people worn out by fatigue, Keep out of the reach of children, Use under medical supervision, Read the label carefully before use, Avoid eating tobacco or drinking alcohol during the course, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['Ferrum phosphoricum', 'Natrum muriaticum', 'Kalium phosphoricum', 'Magnesia phosphorica', 'congestion', 'over exertion', 'onion', 'hing', 'mint', 'camphor']","['Relieve from headache due to sun heat', 'lack of sleep or because of low functioning liver due to worries and anxiety', 'Increases the level of concentration and improves the state of confusion', 'Makes the person less sensitive to light and tolerance to noise', 'Heals the headache after mental labour and people worn out by fatigue', 'Keep out of the reach of children', 'Use under medical supervision', 'Read the label carefully before use', 'Avoid eating tobacco or drinking alcohol during the course', 'Avoid any strong smell in the mouth such as coffee', 'garlic etc while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
978,SBL Petroleum Dilution 200 CH,SBL Pvt Ltd,4.5,192 Ratings,"Alcohol, Helps in treating dry cough, chest oppression and serious infection of throat and nose, Helpful in the treatment of diarrhoea with anus itching, Eyes - treat eyelashes loss, dry skin near eyes, eyelid inflammation, blurred vision and any other problem in eye corners, Extremities - treats knee scalding sensation, stinky sweat or spasm, cracked fingertips or joints and knee stiffness., Helps in treating nose itching, bleeding and ulcers in nostrils, Reduces perineum outgrowth and prostate inflammation, Help in treating heart throbbing and unconsciousness due to heat, Treats neck stiffness and weakness or pain in the back, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place","['Alcohol', 'eyelid inflammation']","['Helps in treating dry cough', 'chest oppression and serious infection of throat and nose', 'Helpful in the treatment of diarrhoea with anus itching', 'Eyes - treat eyelashes loss', 'dry skin near eyes', 'blurred vision and any other problem in eye corners', 'Extremities - treats knee scalding sensation', 'stinky sweat or spasm', 'cracked fingertips or joints and knee stiffness.', 'Helps in treating nose itching', 'bleeding and ulcers in nostrils', 'Reduces perineum outgrowth and prostate inflammation', 'Help in treating heart throbbing and unconsciousness due to heat', 'Treats neck stiffness and weakness or pain in the back', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place']"
979,Allen A69 Anal Fissures Drop,Allen Homoeo & Herbal Products Ltd,4.3,53 Ratings,],[']'],[]
980,Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.3,53 Ratings,"Echinacea, Aconitum Nappelus, Sambucus Nigra, Baptisia Tinctoria, Thuja, Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system, Help fight bacterial and viral infections, Aconitum Nappelus helps those who become ill after a cold and cough, Helps to improve immunity and acts as an anti-septic, Thuja acts on the lymphatic\xa0 system and swollen glands, It is safe, scientific and long-lasting, Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place","['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja']","['Echinacea helps to increase white blood cells', 'which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\\xa0 system and swollen glands', 'It is safe', 'scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
981,SBL Ledum Palustre Dilution 30 CH,SBL Pvt Ltd,4.6,192 Ratings,"Ledum palustre with alcohol, Provides relief from animal or insect bites, Relieves pain due to puncture wound and cuts in hand or feet, Relieves septic state of wounds accompanied by swelling or coldness, Effective against many types of joint pain, Relieves lower limb joint pain and rheumatism, Helps in treating gout of knees and feet, Relieves ankle and joint sprain, Treats ankle and feet itching, Gets rid of pain in the eyeball by using cold compresses, Effective for pets in wounds due to fight and other conditions, Read the label carefully before use, Do not exceed recommended dose, Keep out of reach of children, Avoid any physical damage, Store in a cool dry place away from direct sunlight",[],"['Ledum palustre with alcohol', 'Provides relief from animal or insect bites', 'Relieves pain due to puncture wound and cuts in hand or feet', 'Relieves septic state of wounds accompanied by swelling or coldness', 'Effective against many types of joint pain', 'Relieves lower limb joint pain and rheumatism', 'Helps in treating gout of knees and feet', 'Relieves ankle and joint sprain', 'Treats ankle and feet itching', 'Gets rid of pain in the eyeball by using cold compresses', 'Effective for pets in wounds due to fight and other conditions', 'Read the label carefully before use', 'Do not exceed recommended dose', 'Keep out of reach of children', 'Avoid any physical damage', 'Store in a cool dry place away from direct sunlight']"
982,Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.6,58 Ratings,"It helps manage non-toxic goitre and obesity, It helps reduce flatulence and improve digestion. It also helps relieve constipation, It helps reduce thyroid enlargement in fat people, It helps relieve intolerable forehead pain and headache, It helps reduce face flushing and pain in epigastric region, In women, it helps in improving respiration during menses, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place",['In women'],"['It helps manage non-toxic goitre and obesity', 'It helps reduce flatulence and improve digestion. It also helps relieve constipation', 'It helps reduce thyroid enlargement in fat people', 'It helps relieve intolerable forehead pain and headache', 'It helps reduce face flushing and pain in epigastric region', 'it helps in improving respiration during menses', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place']"
983,ADEL Berberis Vulg Mother Tincture Q,Adel Pekana Germany,4.5,49 Ratings,"Effective in the treatment of kidney stones and pains associated with it, Cures constipation and diarrhoea, It reduces arthritic pains in legs beginning from the back, Helps in relieving inflammation and pain in gall bladder, Burberis Vulgaris is a natural pain reliever and it soothes any such pains associated with renal calculi, Useful in skin related ailments such as warts, pustules accompanied by itching of the skin, Based on homoeopathic composition, it is safe to use and has no side effects, Read the label carefully before use, Do not exceed the recommended dosage, Keep out of the reach of children, Use under medical supervision, Store ina a cool dry place away from direct sunlight and heat",[],"['Effective in the treatment of kidney stones and pains associated with it', 'Cures constipation and diarrhoea', 'It reduces arthritic pains in legs beginning from the back', 'Helps in relieving inflammation and pain in gall bladder', 'Burberis Vulgaris is a natural pain reliever and it soothes any such pains associated with renal calculi', 'Useful in skin related ailments such as warts', 'pustules accompanied by itching of the skin', 'Based on homoeopathic composition', 'it is safe to use and has no side effects', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Use under medical supervision', 'Store ina a cool dry place away from direct sunlight and heat']"
984,Bjain Omeo Allergy Tablet,Bjain Pharmaceuticals Pvt Ltd,4.1,42 Ratings,"Ferrum phosphoricum, Natrum muriaticum, Kali sulphuricum, Kali muriaticum, Facilitates comfort in the conditions of sneezing, runny nose, itchy nose and throat, watery and itchy eyes, Provides relief in inflammed mucous membranes of the respiratory system such as in cases of sinusitis, It relieves watery eyes, runny nose, sneezing, and itching, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children","['Ferrum phosphoricum', 'Natrum muriaticum', 'Kali sulphuricum', 'Kali muriaticum', 'runny nose', 'runny nose', 'sneezing', 'and itching']","['Facilitates comfort in the conditions of sneezing', 'itchy nose and throat', 'watery and itchy eyes', 'Provides relief in inflammed mucous membranes of the respiratory system such as in cases of sinusitis', 'It relieves watery eyes', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children']"
985,SBL Stobal Cough Syrup Sugar Free,SBL Pvt Ltd,4.6,1160 Ratings,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract, It acts on dry coughs aggravated by inspiring cold air, which causes stringy and tough expectoration, It reduces spasmodic irritation of the chest, It is a homeopathy cough medicine in dry and wet cough, removes phlegm and relieves difficulty in swallowing, Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a day, Children: One tablespoon 3-5 times a day or as directed by the physician, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract', 'It acts on dry coughs aggravated by inspiring cold air', 'which causes stringy and tough expectoration', 'It reduces spasmodic irritation of the chest', 'It is a homeopathy cough medicine in dry and wet cough', 'removes phlegm and relieves difficulty in swallowing', 'Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a day', 'Children: One tablespoon 3-5 times a day or as directed by the physician', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
986,Bjain Rauwolfia Serpentina Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.4,92 Ratings,"It helps in reducing high blood pressure and its associated symptoms, Treats several types of mental disorders such as aggression, mood swings, depression and insomnia, It is also helpful in treating symptoms of diarrhoea in rare cases and treats conditions of dysentery, It relaxes the blood vessels by reducing noradrenaline from artery walls and improves blood flow, A great remedy for treating sleeping disorders, Read the label carefully before use, Keep out of the reach of children, Do not exceed the recommended dose, Avoid alcohol consumption, If pregnant or breastfeeding, make sure you consult your homeopathic practitioner before use",['mood swings'],"['It helps in reducing high blood pressure and its associated symptoms', 'Treats several types of mental disorders such as aggression', 'depression and insomnia', 'It is also helpful in treating symptoms of diarrhoea in rare cases and treats conditions of dysentery', 'It relaxes the blood vessels by reducing noradrenaline from artery walls and improves blood flow', 'A great remedy for treating sleeping disorders', 'Read the label carefully before use', 'Keep out of the reach of children', 'Do not exceed the recommended dose', 'Avoid alcohol consumption', 'If pregnant or breastfeeding', 'make sure you consult your homeopathic practitioner before use']"
987,Dr Willmar Schwabe India Topi Aesculus Cream,Dr Willmar Schwabe India Pvt Ltd,4.5,74 Ratings,],[']'],[]
988,Bjain Omeo Mouth Ulcer Tablet,Bjain Pharmaceuticals Pvt Ltd,4.4,48 Ratings,],[']'],[]
989,Bakson's Kof Aid Cough Syrup,Bakson's Homeopathy,4.3,105 Ratings,"Bryonia alba 2x, Ipecacuanha 3x, Antimonium tart. 3x, Phosphorus 5x, Drosera rot., Justicia adh. 2x, Helps to treat associated symptoms of headache, rhinitis and fever, Treats and reduces the sneezing, runny, stuffy and itchy nose, It helps to heal sore or scratchy throat, coughing and frequent headaches, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Do not exceed the recommended dosage","['Ipecacuanha 3x', 'Phosphorus 5x', 'Drosera rot.', 'runny']","['Bryonia alba 2x', 'Antimonium tart. 3x', 'Justicia adh. 2x', 'Helps to treat associated symptoms of headache', 'rhinitis and fever', 'Treats and reduces the sneezing', 'stuffy and itchy nose', 'It helps to heal sore or scratchy throat', 'coughing and frequent headaches', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children', 'Do not exceed the recommended dosage']"
990,SBL Chimaphila Umbellata Mother Tincture Q,SBL Pvt Ltd,4.7,34 Ratings,"Highly effective in the treatment of urinary tract infections and bladder disorders, Treats conditions of scanty urine and strain caused before urination, Can be used for the treatment of acute prostatitis, Relieves stabbing pain the head, especially the front side with itchy and strained eyes, It can be used for tooth sensitivity and relieves pain associated with it, Treats conditions associated with loss of prostatic fluid and its enlargement, It can also be used to cure rheumatism and arthritis, It also helps in treating skin disorders such as inflammation and enlargement of lymphatic glands, Read the label carefully before use, Do not exceed the recommended dosage, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat",[],"['Highly effective in the treatment of urinary tract infections and bladder disorders', 'Treats conditions of scanty urine and strain caused before urination', 'Can be used for the treatment of acute prostatitis', 'Relieves stabbing pain the head', 'especially the front side with itchy and strained eyes', 'It can be used for tooth sensitivity and relieves pain associated with it', 'Treats conditions associated with loss of prostatic fluid and its enlargement', 'It can also be used to cure rheumatism and arthritis', 'It also helps in treating skin disorders such as inflammation and enlargement of lymphatic glands', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
991,Bakson's Kof Aid Cough Syrup,Bakson's Homeopathy,4.3,105 Ratings,"Bryonia alba 2x, Ipecacuanha 3x, Antimonium tart. 3x, Phosphorus 5x, Drosera rot., Justicia adh. 2x, Helps to treat associated symptoms of headache, rhinitis and fever, Treats and reduces the sneezing, runny, stuffy and itchy nose, It helps to heal sore or scratchy throat, coughing and frequent headaches, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of the children, Do not exceed the recommended dosage","['Ipecacuanha 3x', 'Phosphorus 5x', 'Drosera rot.', 'runny']","['Bryonia alba 2x', 'Antimonium tart. 3x', 'Justicia adh. 2x', 'Helps to treat associated symptoms of headache', 'rhinitis and fever', 'Treats and reduces the sneezing', 'stuffy and itchy nose', 'It helps to heal sore or scratchy throat', 'coughing and frequent headaches', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of the children', 'Do not exceed the recommended dosage']"
992,Bjain Lycopodium Clavatum Dilution 200 CH,Bjain Pharmaceuticals Pvt Ltd,4.7,46 Ratings,"Lycopodium clavatum, It helps in the healing of ear discharges, coryza, toothache, and tonsillitis, It is effective for urinary complaints such as retention, polyuria, pain before urination, and red sediments in the urine, It keeps the liver functioning healthy and relieves renal calculi effectively, It helps with gastric disturbances, cough, and skin complaints such as hives, varicose veins, and offensive perspiration are also aided by this remedy, It maintains good health and overall well-being of the body, Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of the reach of children, Keep at least half an hour gap between food, drink, or any other medicines","['Lycopodium clavatum', 'coryza', 'toothache', 'and tonsillitis', 'polyuria', 'cough', 'varicose veins', 'drink']","['It helps in the healing of ear discharges', 'It is effective for urinary complaints such as retention', 'pain before urination', 'and red sediments in the urine', 'It keeps the liver functioning healthy and relieves renal calculi effectively', 'It helps with gastric disturbances', 'and skin complaints such as hives', 'and offensive perspiration are also aided by this remedy', 'It maintains good health and overall well-being of the body', 'Read the label carefully before use', 'Store in a cool and dry place', 'away from sunlight', 'Keep out of the reach of children', 'Keep at least half an hour gap between food', 'or any other medicines']"
993,Dr Willmar Schwabe India Ocimum Sanctum Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,4.5,65 Ratings,"Ocimum Sanctum (Holy Basil), Helps improve the appetite and also helps in evacuation of bowel in constipated patients, Helpful in skin complaints, acne and ringworm infections, It aids in cases\xa0 of cold and cough with fever complaints, Used as a mosquito repellent which helps to reduce complaints of malaria, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store at a cool and dry place, Should be protected from direct sunlight",[],"['Ocimum Sanctum (Holy Basil)', 'Helps improve the appetite and also helps in evacuation of bowel in constipated patients', 'Helpful in skin complaints', 'acne and ringworm infections', 'It aids in cases\\xa0 of cold and cough with fever complaints', 'Used as a mosquito repellent which helps to reduce complaints of malaria', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store at a cool and dry place', 'Should be protected from direct sunlight']"
994,LDD Bioscience Yelo-Lax Tablet,LDD Bioscience Pvt Ltd,3.9,25 Ratings,"Phenolphthalein, Senna, Sulphur, It improves chronic constipation, It regulates the bowel movements, It helps in softening hard stools and provides relief from itching, It improves the functioning of the stomach, intestines and gut, It improves metabolism, Consult a physician before use, Take two tablets before bedtime, Children should be given only one tablet, Do not exceed the recommended dose, Read the label carefully before use, Pregnant women should not consume these tablets, Store in a cool, dry place away from direct sunlight, Keep out of reach of the children","['Phenolphthalein', 'Senna', 'Sulphur']","['It improves chronic constipation', 'It regulates the bowel movements', 'It helps in softening hard stools and provides relief from itching', 'It improves the functioning of the stomach', 'intestines and gut', 'It improves metabolism', 'Consult a physician before use', 'Take two tablets before bedtime', 'Children should be given only one tablet', 'Do not exceed the recommended dose', 'Read the label carefully before use', 'Pregnant women should not consume these tablets', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of the children']"
995,SBL Coffea Cruda Dilution 200 CH,SBL Pvt Ltd,4.5,114 Ratings,"Relieves from the sensitivity of teeth, Effective in relieving symptoms that arise from bad effects of coffee or any other stimulants such as tobacco, alcohol, recreational drugs, Reduces sensitivity of genitals in women, Helps in curing chronic headache, Promotes sleep and helps in reducing Insomnia, Read the label carefully before use, Keep out of the reach of children, Use under medical supervision, Do not exceed the recommended dosage, Maintain half an hour gap between food, drink and any other homoeopathic medicine, Avoid any strong smell in the mouth while taking medicine e.g. camphor, garlic, onion, coffee and hing, Store in a cool and dry place","['alcohol', 'recreational drugs', 'garlic', 'onion']","['Relieves from the sensitivity of teeth', 'Effective in relieving symptoms that arise from bad effects of coffee or any other stimulants such as tobacco', 'Reduces sensitivity of genitals in women', 'Helps in curing chronic headache', 'Promotes sleep and helps in reducing Insomnia', 'Read the label carefully before use', 'Keep out of the reach of children', 'Use under medical supervision', 'Do not exceed the recommended dosage', 'Maintain half an hour gap between food', 'drink and any other homoeopathic medicine', 'Avoid any strong smell in the mouth while taking medicine e.g. camphor', 'coffee and hing', 'Store in a cool and dry place']"
996,Bjain Baryta Carbonica Dilution 30 CH,Bjain Pharmaceuticals Pvt Ltd,4.8,29 Ratings,"Baryta Carb, It helps in the healing of prostate troubles and dyspepsia, It is effective for complaints such as weakness of memory, vision troubles in old age, hardness of hearing, coryza and epistaxis, It helps with epigastric tenderness, colic, constipation and haemorrhoids, Dry suffocative cough, palpitations, and foot sweats are also aided by this remedy, Read the label carefully before use, Keep out of the reach of children, Store in a cool and dry place, Keep away from direct sunlight","['Baryta Carb', 'colic', 'palpitations']","['It helps in the healing of prostate troubles and dyspepsia', 'It is effective for complaints such as weakness of memory', 'vision troubles in old age', 'hardness of hearing', 'coryza and epistaxis', 'It helps with epigastric tenderness', 'constipation and haemorrhoids', 'Dry suffocative cough', 'and foot sweats are also aided by this remedy', 'Read the label carefully before use', 'Keep out of the reach of children', 'Store in a cool and dry place', 'Keep away from direct sunlight']"
997,SBL Hair Colour 12 Sachets Black,SBL Pvt Ltd,4.4,31 Ratings,],[']'],[]
998,ADEL Acid Phos Mother Tincture Q,Adel Pekana Germany,4.4,39 Ratings,"Treats complications associated with mental as well as emotional trauma, Provides relief from headache due to exhaustion and mental weakness, Helps improve concentration, focus and memory and improves general mood, Improves physical and mental stress and corrects negative thinking patterns, It can be used to treat soreness of the eyes that leads to irritated and itchy eyes, Helps in relieving distension, nausea and vomiting in stomach, Improves digestion and stimulates appetite, Acts as a mild sedative and treats insomnia caused due to anxiety, Corrects sexual disorders in men and increases libido, Prevents premature greying of hair, Read the label carefully before use, Do not exceed the recommended dosage, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat",[],"['Treats complications associated with mental as well as emotional trauma', 'Provides relief from headache due to exhaustion and mental weakness', 'Helps improve concentration', 'focus and memory and improves general mood', 'Improves physical and mental stress and corrects negative thinking patterns', 'It can be used to treat soreness of the eyes that leads to irritated and itchy eyes', 'Helps in relieving distension', 'nausea and vomiting in stomach', 'Improves digestion and stimulates appetite', 'Acts as a mild sedative and treats insomnia caused due to anxiety', 'Corrects sexual disorders in men and increases libido', 'Prevents premature greying of hair', 'Read the label carefully before use', 'Do not exceed the recommended dosage', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
999,Allen A65 Bronchitis Drop,Allen Homoeo & Herbal Products Ltd,4.5,77 Ratings,],[']'],[]
1000,Bjain Andrographis Paniculata Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.5,27 Ratings,"Andrographis Paniculata, It contains anti-viral and antibacterial properties used to get relief from cough, sore throat and the common cold, It is effective for burning sensation in the body, It helps with thick yellow urine, fever, chilliness, and headaches are also aided by this remedy, It is indicated in torpidity of the liver, neuralgia, dyspepsia and, in general, debility, It helps to lower sugar and cholesterol levels in the body, Read the label carefully before use, Consult your physician before taking any homoeopathic remedy if you are pregnant or breastfeeding, Store in a cool, dry place away from direct sunlight, Keep out of reach of the children","['Andrographis Paniculata', 'fever', 'chilliness', 'neuralgia', 'dyspepsia and', 'in general', 'debility']","['It contains anti-viral and antibacterial properties used to get relief from cough', 'sore throat and the common cold', 'It is effective for burning sensation in the body', 'It helps with thick yellow urine', 'and headaches are also aided by this remedy', 'It is indicated in torpidity of the liver', 'It helps to lower sugar and cholesterol levels in the body', 'Read the label carefully before use', 'Consult your physician before taking any homoeopathic remedy if you are pregnant or breastfeeding', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of the children']"
1001,SBL Kalmegh Paediatric Drop,SBL Pvt Ltd,4.3,103 Ratings,],[']'],[]
1002,SBL Calcarea Sulphurica Biochemic Tablet 6X,SBL Pvt Ltd,4.6,71 Ratings,"Primarily used for the treatment of skin conditions such as eczema and acne, Heals minor cuts and wounds and skin rashes that causes itchiness, Helpful in treating ear infections  an rashes, Provides effective relief from congestion in head due to chronic infection of sinuses, Can be used to relieve stomach infections such as diarrhoea and dysentery, Has a potent effect on the treatment of respiratory issues such as excessive cough and relives issues associated with tonsillitis, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat",[],"['Primarily used for the treatment of skin conditions such as eczema and acne', 'Heals minor cuts and wounds and skin rashes that causes itchiness', 'Helpful in treating ear infections  an rashes', 'Provides effective relief from congestion in head due to chronic infection of sinuses', 'Can be used to relieve stomach infections such as diarrhoea and dysentery', 'Has a potent effect on the treatment of respiratory issues such as excessive cough and relives issues associated with tonsillitis', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
1003,SBL Selenium Dilution 200 CH,SBL Pvt Ltd,4.3,147 Ratings,"Selenium Dilution, It is used to prevent selenium deficiency in the body, It is helpful in the prevention of hyperthyroidism, It helps with the weak immune system which can result in the deficiency of selenium, It is also helpful in the prevention of coronary heart diseases, It fights inflammation and increases blood flow, Reduces harmful effects of free radicals and contains antioxidant properties, It prevents the cell damage and protects the body from damage caused by heavy metals, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Use under medical supervision, Store in a cool dry place away from direct sunlight and heat",['Selenium Dilution'],"['It is used to prevent selenium deficiency in the body', 'It is helpful in the prevention of hyperthyroidism', 'It helps with the weak immune system which can result in the deficiency of selenium', 'It is also helpful in the prevention of coronary heart diseases', 'It fights inflammation and increases blood flow', 'Reduces harmful effects of free radicals and contains antioxidant properties', 'It prevents the cell damage and protects the body from damage caused by heavy metals', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
1004,Bjain Terminalia Arjuna Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.7,91 Ratings,"It is used for improving cardiovascular health, It strengthens cardiac muscles and prevents any serious illness affecting it, It helps in regulating heartbeat, Highly useful in facilitating the healing process in case of injuries, Helps in improving energy levels and reduces fatigue, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Use under medical supervision, Store in a cool dry place away from direct sunlight and heat",[],"['It is used for improving cardiovascular health', 'It strengthens cardiac muscles and prevents any serious illness affecting it', 'It helps in regulating heartbeat', 'Highly useful in facilitating the healing process in case of injuries', 'Helps in improving energy levels and reduces fatigue', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
1005,Dr. Reckeweg Thuja Occ Dilution 1000 CH,Dr Reckeweg & Co,4.5,394 Ratings,"Thuja Occidentalis, It is primarily used for the treatment of rheumatic and arthritic pains, Highly useful in treating issues related to sunstroke and swelling on the skin accompanied by painful eruptions, It is also useful in treating side effects of vaccination on the skin of children, It is an effective remedy in the treatment of painful headache, It uses also includes treatment of stomach issues that causes indigestion and loss of appetite, Provides effective relief from constipation, It also corrects urinary disorders such as excessive urge to urinate and painful urination, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Use under medical supervision, Store in a cool dry place away from direct sunlight and heat",['Thuja Occidentalis'],"['It is primarily used for the treatment of rheumatic and arthritic pains', 'Highly useful in treating issues related to sunstroke and swelling on the skin accompanied by painful eruptions', 'It is also useful in treating side effects of vaccination on the skin of children', 'It is an effective remedy in the treatment of painful headache', 'It uses also includes treatment of stomach issues that causes indigestion and loss of appetite', 'Provides effective relief from constipation', 'It also corrects urinary disorders such as excessive urge to urinate and painful urination', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Use under medical supervision', 'Store in a cool dry place away from direct sunlight and heat']"
1006,Dr. Reckeweg Gelsemium Sempervirens Dilution 200 CH,Dr Reckeweg & Co,4.7,162 Ratings,"Natural Minerals, Gelsemium Sempervirens, Lactose, Sucrose, Combats the blood pressure level that arises due to anxiety, exhilaration and sudden shock, Used in the treatment of cold, flu and sore throat, Treats nervousness that is caused during examination time, job interviews and presentations either in class or at workplace, Helps in reducing severe anxieties that results in paralysis, Treatment of sensation of tightness in the head, heavy eyelids, double vision and vertigo problems, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool place and not to be exposed to direct sunlight","['Natural Minerals', 'Gelsemium Sempervirens', 'Lactose', 'Sucrose', 'heavy eyelids']","['Combats the blood pressure level that arises due to anxiety', 'exhilaration and sudden shock', 'Used in the treatment of cold', 'flu and sore throat', 'Treats nervousness that is caused during examination time', 'job interviews and presentations either in class or at workplace', 'Helps in reducing severe anxieties that results in paralysis', 'Treatment of sensation of tightness in the head', 'double vision and vertigo problems', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool place and not to be exposed to direct sunlight']"
1007,Bakson B16 Vertigo Drop,Bakson's Homeopathy,4.4,54 Ratings,"Argentum nitr, Cocculus ind, Conium mac, Gelsemium, It is used for the treatment of vertigo and its associated ailments, Manages symptoms of Vertigo such as blurred vision, headache, dizziness and nausea, Helps with walking or weakness of the arms and legs, Relieves headache caused due to mental exertion, Reduces drowsiness, dizziness, dullness and muscular soreness of neck and shoulders, Its homoeopathic composition makes it safe to use and it doesn’t trigger any side effects, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool dry place away from direct sunlight and heat","['Argentum nitr', 'Cocculus ind', 'Conium mac', 'Gelsemium', 'headache', 'Reduces drowsiness', 'dizziness']","['It is used for the treatment of vertigo and its associated ailments', 'Manages symptoms of Vertigo such as blurred vision', 'dizziness and nausea', 'Helps with walking or weakness of the arms and legs', 'Relieves headache caused due to mental exertion', 'dullness and muscular soreness of neck and shoulders', 'Its homoeopathic composition makes it safe to use and it doesn’t trigger any side effects', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool dry place away from direct sunlight and heat']"
1008,SBL Dysmin Tablet,SBL Pvt Ltd,4.6,60 Ratings,],[']'],[]
